View,Threshold,Precision,Recall,F1
bottom,2.0084417,0.8125,0.7959183673469388,0.8041237113402062
side,2.5414968,0.5147058823529411,0.875,0.6481481481481481
top,2.078006,0.36507936507936506,1.0,0.5348837209302325
